cell_id,x,y,z,F_0_0,F_2_0,F_4_0,F_4_2,F_2_2,F_6_0,F_12_0,F_5_1,F_14_0,F_3_1,F_10_0,F_7_1,F_16_0,F_8_2,F_15_1,F_1_1,F_13_1,F_6_2,F_10_8,F_10_2,F_6_4,F_18_0,F_8_6,F_17_1,F_10_4,F_9_1,F_18_2,F_16_2,F_4_4,F_8_8,F_12_2,F_6_6,F_11_1,F_14_4,F_8_4,F_20_2,F_18_4,F_16_4,F_19_3,F_10_6,F_16_10,F_17_3,F_16_6,F_20_4,F_5_3,F_16_14,F_12_10,F_14_8,F_17_5,F_16_12,F_19_5,F_14_2,F_3_3,F_20_0
1,104,14,213,3007.99267578125,2256.205810546875,534.5362548828125,1412.0587832819979,965.9506790635971,24.399972915649414,78.64288330078125,686.5260112123397,128.03350830078125,1298.1971732842962,10.191444396972656,392.1077687520246,199.81005859375,520.8368887430208,165.25800395298793,1046.627855332104,189.16256833700106,815.5883976580717,148.96211682136993,714.1422351259589,550.6846114412199,227.13751220703125,437.71681265340953,75.00925120488264,541.7686496541061,328.26419537223956,262.6189221062404,193.60000647339535,281.8957892262563,128.2012258487959,643.189363777184,269.79466005745786,164.16844887127954,523.345598841884,610.570509969703,213.7500774302872,215.2561271670469,337.334439797923,63.630737679673366,427.64972899347896,242.16801037511777,153.8509075688408,290.5249580114077,165.15781517205372,1029.2486568166535,140.70290479357578,220.8671928256103,418.92978137056406,202.27613788291924,171.50734276062573,162.1247907273541,247.82846976883124,662.3402112358611,174.60049438476562
2,208,51,197,6023.75146484375,4590.435546875,645.6154174804688,3391.7844917787397,2136.774862376495,1069.624755859375,558.9143676757812,614.8817697263038,68.2415771484375,866.2232267484054,1029.0596923828125,173.71216680309914,35.401702880859375,1398.757403539889,138.5825887236343,614.6150390437929,124.9398861650354,2083.0296280290445,466.25438455254647,818.8632020473781,863.9773661540668,50.276695251464844,590.8384071220187,253.57696756072787,855.8498740266377,246.91690208601412,258.23110669048634,205.5426344256573,307.0872309995564,187.09946333991385,297.7508849859792,339.4262024062889,295.44759659036964,336.52194642754887,1138.0863496428367,98.65450024537188,170.15881056213172,390.7717960003495,174.45768720642292,441.62954257541475,279.09882091803064,327.811984280872,329.243532448457,126.65545258970421,392.1828300157281,129.08177764255373,307.5257527095434,331.5969087962918,272.1268557662465,228.21102902362773,200.26121328234865,173.40909882892157,204.75795406163735,39.90020751953125
3,224,6,171,3415.90576171875,1853.07275390625,284.64215087890625,1770.003563204768,1499.3535066435713,57.4749641418457,31.27260971069336,757.7296492710584,19.67520523071289,2076.5136664947167,69.79949188232422,666.1003326299013,107.56304931640625,534.4183242087527,231.01068552994982,1954.482376322115,171.35241353467802,345.5087764625756,579.1372997695177,610.3811468094888,1318.2321650084978,189.65736389160156,1135.9616191721325,126.12680719963336,376.8515024896264,386.17305571959264,152.07397500919572,112.42385158996363,731.4039083093744,283.5049504667385,624.2458446345589,611.9894938281185,262.5717927196644,295.99232272062727,713.6510530513164,99.08369315550101,125.91273140229075,214.3304747382521,172.12742893869876,562.7384824653593,421.950317892445,169.81532502863078,215.6338832370343,63.03472694414317,2309.3247472103203,294.91925636165047,687.3625745269841,459.0100146303181,250.30308568239212,492.01647435617514,127.27845536714875,232.88747575565947,1556.8990132471877,120.4859619140625
4,5,35,73,1847.327392578125,1405.5789794921875,353.828857421875,984.7248614676072,672.5834620393247,58.40229415893555,134.454833984375,591.40796556352,109.99380493164062,1047.7870668553142,73.43827819824219,331.2740492816107,114.26805114746094,155.77092433982116,97.1822678978697,818.2847214457179,146.3107883846402,445.33626047601996,134.48828372077315,298.0549478165336,367.7482929128455,126.7024917602539,232.75314406995972,34.87141973381749,245.45564662559448,278.55333420127124,63.52515352913053,103.6452266359319,225.51432508984146,70.65971792357068,308.2932039341671,149.26797141168495,217.527779155719,251.95381052795355,290.11974856290107,42.92531680363533,104.62880000046984,184.31072749391922,136.90276279651886,163.1953960269893,134.53658068857186,185.76788211428558,148.8842951919391,107.54989612205502,861.2559344945549,65.34753263788552,154.08372036994143,198.11880111971067,216.58393172775558,113.37785049643725,136.5917079075307,147.08515732111886,545.0903080574113,91.62097930908203
5,543,44,182,4249.10302734375,3474.895751953125,1303.066650390625,1824.111412510261,1244.5555546572025,520.367919921875,486.51123046875,249.70059960891965,503.2265625,779.2615814987664,255.61639404296875,228.37742266409728,507.7762756347656,584.4551390242473,135.1558791365266,767.638118070448,130.53011987699284,969.6969159715853,222.55277263652567,795.1230582380484,375.8859644882831,462.97430419921875,520.7152732891177,83.59149489809786,318.9209565944428,133.69990916076134,265.6688299291596,250.51063535505253,214.62780029592278,145.2281164980939,613.4252715463966,322.2173114006231,67.42834104579387,406.22669034822246,425.52788670099005,236.45548588903537,126.54037420051583,228.7430684021427,108.88226433714338,139.45767641072734,109.5816749927407,131.9073715696939,109.25049173180334,197.03439056388063,515.1226245410352,96.64797315503263,205.35335494753727,194.7420058788665,141.21872555939532,137.23923254394933,103.19385596959283,125.72612514254057,486.8380936469584,340.533203125
6,180,89,49,5889.80078125,4407.8330078125,1111.075439453125,1911.406717067938,1601.4742102126977,85.92853546142578,932.8509521484375,285.8103835460744,734.3988037109375,496.72964634012834,820.0543212890625,176.0807942992405,501.6004638671875,543.2289272872345,134.86219738535743,427.47165122133185,203.54809848633167,458.8872059493259,389.18627976864093,456.88206855751764,567.2031778638359,232.09352111816406,927.8924117010316,64.92840075221432,146.41844229703858,72.61255231862167,313.72867664751385,316.09544259889395,386.1788445268269,275.64739379105936,390.83198291864943,578.8844630750522,184.91462346746482,438.3824589328407,405.254287108725,252.97556304562062,215.98896812538516,221.2490546581972,129.80114213837103,189.47866250574802,211.523714709131,77.74604698782863,169.2412674555429,259.08855579332504,316.22016801885195,219.26887889403554,362.61790458457125,381.2477414745847,139.81932615864991,223.38853749912593,124.61593279341571,120.72073337508289,289.5386412239404,10.181882858276367
7,308,101,152,4886.087890625,3643.679443359375,1099.4666748046875,1165.2574290991874,1169.634903667248,471.2359313964844,585.926025390625,262.89023653251513,557.2734375,293.29620349595945,369.6419372558594,193.75816176462382,499.9654541015625,1149.7413848751885,153.79575549986646,329.8217904165015,152.60998354194695,745.6677863654578,426.96319442199456,816.7240863989581,679.9764412724048,373.6994323730469,905.3831189492232,105.24949216197399,167.81551436375017,83.27768399744869,184.61621268687668,152.1601747476774,448.64765716773223,306.8154121874556,576.9288112197661,577.8708310338814,61.066561128520476,259.1721061360778,439.2042748431279,275.8332642079132,279.72500551853085,213.08649666499724,140.38227464959266,274.2828205459648,256.1988308125368,197.25240726657842,226.07779148678904,232.78744571345703,486.2138540225433,270.9287771196574,392.9928174600791,346.7526910473312,243.705764612664,281.01455425673805,202.12329367089848,353.3362539683172,416.2651334676332,197.07774353027344
8,155,170,132,10067.74609375,7472.9111328125,892.3494873046875,3895.9495661141796,2785.417571471714,1860.0626220703125,532.239501953125,577.3728985632972,103.45748138427734,635.3742627251155,1474.32666015625,576.198669123367,56.227874755859375,1600.6018911982762,203.06718309713412,844.5780596621796,288.90612192430984,1871.3308110273563,694.5976597835343,690.1936258096779,909.1723650001336,172.00372314453125,1294.7343939092677,117.90390696238852,503.59702394547213,368.6473153802031,234.44490516267567,390.2796947104677,579.7822192634861,403.1671143727119,529.5432177245981,777.9246178231518,147.63514366691007,532.2605337818484,618.4176209622776,377.88678476394546,400.29643319269104,354.8969878381194,220.10313356207797,441.84517238140154,346.5853558574839,248.05119281212842,685.2589602306324,340.03001064593775,1453.8092376819873,344.08791628574863,586.6109095907688,551.6678978198088,367.98365629893806,428.5181233591405,216.71205800549788,704.1785053914377,810.3162658916207,180.2877960205078
9,615,157,203,9529.2138671875,5453.5673828125,1080.7811279296875,5526.963803854034,4212.361117539587,1612.5302734375,97.46382904052734,443.92076393320843,39.18698501586914,965.0596411642304,277.47564697265625,428.2271210479395,204.90463256835938,1267.4064386059852,97.3481971051909,898.9133257414597,107.1082518332049,1804.9227097508765,1194.9086901614455,346.6071334879428,3073.071212254031,340.2548828125,2511.9677191235774,70.02194217194116,553.06704849577,223.6410311494091,94.18766598603175,255.35204987156368,1542.8710547881053,630.7864612449982,726.1391403749584,1325.6279110237838,32.394382776941484,454.7077386160117,2138.817279209366,69.35301600465286,463.34248230079953,262.76898156753646,210.6189687060277,1319.1383484666494,578.316541409717,260.09237485626113,312.37659858056554,389.981764757734,863.3182777818347,531.0472880001894,907.042285710536,857.9786642182197,202.9444375178058,623.8969415863783,172.57179463177124,402.21139830301667,648.4822087641621,215.79844665527344
10,227,166,86,7084.7509765625,4806.45556640625,499.9212646484375,2429.135572092138,2148.979988045059,485.8770751953125,717.00146484375,262.97708152090377,386.0987854003906,466.3122840042976,889.4188232421875,232.53070367631358,250.9784393310547,895.8144954428363,78.66078564975666,484.0373342984053,88.98134653482141,492.01193631003366,554.6104635599361,285.1783288520701,712.058513313972,131.2521514892578,1285.3548989376402,71.84331871657983,188.56850633921292,107.91270770931881,213.0383652351018,309.2792606641532,487.4356344405698,364.7027869626319,403.31058916938974,787.6776716920808,114.93476594158082,477.06671839454765,487.04013359726423,113.36922686742774,244.3654436118553,226.37404559385124,150.59288227914942,277.94911274536656,272.12299644303766,181.70233257048554,254.93359971485665,282.20808759359886,384.0377417015626,295.420158260786,496.87898909086636,471.7496052112307,145.65327813813172,339.0398446470638,116.53740874609854,217.12633491525426,334.745427049374,9.215890884399414
