x,y,z,gene
946,1258,121,bc2
952,1259,121,bc2
961,1276,121,bc2
973,1224,121,bc2
866,1263,122,bc2
870,1256,122,bc2
877,1243,122,bc2
878,1237,122,bc2
886,1199,122,bc2
892,1193,122,bc2
896,1266,122,bc2
896,1293,122,bc2
898,1191,122,bc2
900,1182,122,bc2
900,1261,122,bc2
903,1288,122,bc2
913,1293,122,bc2
932,1284,122,bc2
935,1276,122,bc2
944,1237,122,bc2
947,1286,123,bc2
962,1201,122,bc2
967,1288,124,bc2
975,1230,122,bc2
982,1279,122,bc2
863,1284,123,bc2
880,1252,123,bc2
892,1238,123,bc2
891,1292,123,bc2
902,1221,123,bc2
943,1181,123,bc2
965,1238,123,bc2
965,1194,123,bc2
870,1241,124,bc2
892,1257,124,bc2
935,1234,124,bc2
943,1194,124,bc2
946,1184,124,bc2
967,1219,124,bc2
977,1246,128,bc2
974,1276,125,bc2
888,1230,125,bc2
887,1282,125,bc2
894,1235,125,bc2
896,1264,128,bc2
920,1171,125,bc2
958,1231,125,bc2
966,1208,125,bc2
971,1210,125,bc2
975,1207,125,bc2
978,1287,125,bc2
863,1245,126,bc2
883,1288,127,bc2
888,1221,127,bc2
901,1257,127,bc2
913,1171,126,bc2
938,1186,126,bc2
948,1257,126,bc2
959,1241,126,bc2
960,1237,126,bc2
967,1206,126,bc2
968,1213,126,bc2
977,1218,126,bc2
985,1291,127,bc2
892,1293,127,bc2
952,1181,127,bc2
954,1279,127,bc2
956,1187,127,bc2
957,1274,127,bc2
962,1189,127,bc2
966,1239,127,bc2
973,1201,127,bc2
979,1259,127,bc2
984,1238,127,bc2
986,1271,127,bc2
886,1203,130,bc2
887,1274,128,bc2
950,1210,129,bc2
952,1272,128,bc2
960,1273,128,bc2
965,1228,129,bc2
971,1282,128,bc2
972,1220,128,bc2
987,1257,128,bc2
868,1230,129,bc2
875,1240,129,bc2
890,1292,129,bc2
907,1264,129,bc2
910,1174,130,bc2
936,1293,129,bc2
942,1199,129,bc2
960,1208,129,bc2
960,1287,129,bc2
971,1204,129,bc2
977,1272,129,bc2
977,1205,129,bc2
981,1226,129,bc2
878,1215,131,bc2
886,1192,130,bc2
889,1226,130,bc2
889,1286,130,bc2
936,1235,130,bc2
947,1256,130,bc2
946,1187,130,bc2
953,1270,130,bc2
962,1282,130,bc2
963,1291,130,bc2
968,1279,130,bc2
973,1216,130,bc2
982,1270,130,bc2
989,1222,130,bc2
876,1280,131,bc2
877,1225,131,bc2
881,1227,131,bc2
890,1272,131,bc2
911,1182,131,bc2
948,1276,131,bc2
951,1260,131,bc2
953,1292,131,bc2
958,1277,131,bc2
961,1285,131,bc2
963,1271,131,bc2
972,1273,131,bc2
974,1262,132,bc2
871,1227,135,bc2
887,1197,132,bc2
954,1270,132,bc2
956,1279,132,bc2
956,1284,132,bc2
957,1274,132,bc2
961,1271,132,bc2
972,1202,132,bc2
867,1242,133,bc2
871,1268,133,bc2
872,1266,133,bc2
878,1288,133,bc2
938,1177,133,bc2
945,1178,133,bc2
962,1257,133,bc2
963,1283,133,bc2
991,1237,133,bc2
874,1216,134,bc2
879,1209,136,bc2
899,1182,135,bc2
915,1186,134,bc2
970,1199,134,bc2
974,1233,134,bc2
977,1274,134,bc2
978,1239,134,bc2
984,1260,134,bc2
885,1266,135,bc2
889,1268,135,bc2
907,1211,135,bc2
955,1283,135,bc2
967,1264,135,bc2
996,1270,135,bc2
886,1204,136,bc2
886,1271,136,bc2
887,1278,136,bc2
898,1286,137,bc2
873,1201,137,bc2
876,1242,138,bc2
877,1276,137,bc2
881,1256,137,bc2
884,1211,137,bc2
886,1264,137,bc2
888,1191,137,bc2
963,1197,137,bc2
987,1250,137,bc2
881,1267,138,bc2
890,1196,138,bc2
896,1281,138,bc2
937,1182,139,bc2
954,1191,138,bc2
974,1235,138,bc2
883,1289,139,bc2
893,1187,139,bc2
965,1286,140,bc2
961,1205,139,bc2
968,1216,139,bc2
986,1246,140,bc2
865,1277,140,bc2
870,1283,140,bc2
878,1223,143,bc2
885,1276,141,bc2
909,1188,140,bc2
980,1287,140,bc2
999,1270,140,bc2
864,1259,141,bc2
867,1274,141,bc2
858,1272,144,bc2
870,1269,142,bc2
877,1236,142,bc2
892,1222,142,bc2
903,1192,142,bc2
867,1281,143,bc2
871,1248,143,bc2
880,1254,143,bc2
898,1244,144,bc2
899,1188,143,bc2
941,1293,143,bc2
953,1285,143,bc2
973,1254,145,bc2
986,1288,146,bc2
1016,1239,144,bc2
873,1261,144,bc2
875,1280,144,bc2
894,1208,144,bc2
925,1271,145,bc2
960,1197,144,bc2
871,1254,146,bc2
888,1252,145,bc2
888,1235,145,bc2
903,1290,145,bc2
951,1193,145,bc2
974,1289,145,bc2
982,1246,145,bc2
989,1245,145,bc2
