x,y,z,gene
1097,1846,156,bc2
907,1332,157,bc2
913,1329,157,bc2
921,1324,158,bc2
926,1294,157,bc2
940,1300,157,bc2
703,1798,158,bc2
917,1299,158,bc2
931,1303,158,bc2
907,1304,159,bc2
915,1303,159,bc2
919,1294,159,bc2
904,1294,160,bc2
912,1298,160,bc2
926,1328,160,bc2
1066,1379,164,bc2
1069,1377,164,bc2
1079,1392,166,bc2
1022,1393,166,bc2
1061,1375,165,bc2
1072,1386,165,bc2
1076,1381,165,bc2
1084,1372,166,bc2
1088,1370,166,bc2
1029,1471,167,bc2
1062,1380,167,bc2
1103,1397,168,bc2
931,1446,169,bc2
1024,1466,168,bc2
1048,1405,168,bc2
1064,1385,169,bc2
1069,1380,168,bc2
639,1797,169,bc2
1026,1460,169,bc2
929,1438,171,bc2
946,1440,170,bc2
977,1540,171,bc2
993,1536,172,bc2
1178,1669,173,bc2
1186,1687,173,bc2
1180,1655,174,bc2
1238,1494,174,bc2
1251,1502,174,bc2
1261,1501,174,bc2
710,1582,175,bc2
1188,1353,177,bc2
1195,1372,176,bc2
821,1556,176,bc2
1206,1368,176,bc2
1207,1358,176,bc2
1208,1361,176,bc2
1219,1304,176,bc2
1221,1299,176,bc2
987,1537,178,bc2
993,1547,177,bc2
1205,1380,177,bc2
614,1760,179,bc2
795,1780,178,bc2
1193,1345,178,bc2
1208,1363,178,bc2
1213,1336,178,bc2
1250,1368,179,bc2
839,1570,179,bc2
992,1546,179,bc2
994,1534,179,bc2
996,1543,179,bc2
1189,1366,179,bc2
850,1560,180,bc2
853,1552,180,bc2
998,1547,181,bc2
1194,1343,180,bc2
835,1576,181,bc2
910,1524,181,bc2
985,1667,183,bc2
994,1666,181,bc2
1250,1378,181,bc2
920,1559,182,bc2
1187,1349,182,bc2
1196,1354,183,bc2
1046,1323,184,bc2
1189,1356,184,bc2
1194,1358,184,bc2
781,1742,186,bc2
1062,1420,187,bc2
770,1746,187,bc2
1057,1413,188,bc2
1045,1437,197,bc2
1233,1383,199,bc2
959,1296,233,bc2
964,1298,236,bc2
953,1302,238,bc2
1066,2173,107,bc2
1085,2206,108,bc2
941,1992,124,bc2
801,2364,139,bc2
732,2003,192,bc2
828,2103,278,bc2
836,2095,277,bc2
834,2105,278,bc2
1331,1263,174,bc2
1394,1151,179,bc2
1301,1224,180,bc2
1301,1239,181,bc2
1697,2713,322,bc2
2109,1368,249,bc2
